,sci_name,presence,origin,seasonal,compiler,yrcompiled,citation,generalisd,legend,Shape_Length,Shape_Area,urbanareas_2021,cropland_2021,rangeland_2021,managed_pasture_2021
10792,Aneides klamathensis,1,1,1,Lauren Warr,2020,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),12.649606160150677,2.096713870201569,0.0036247615188718454,0.022546111813773646,0.06018061111657935,0.03408372815417663
10793,Aneides niger,1,1,1,Lauren Warr,2020,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),3.7689457057939966,0.39692477333952925,0.16085232543448977,0.06515430180937014,0.09950191460580815,0.061839948202966635
10794,Aneides vagrans,1,1,1,IUCN,2021,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),50.64194323705794,4.167715493894157,0.0019032512655809684,0.00545888889491679,0.0015753674398195814,0.0019273979374317244
10795,Aneides vagrans,1,1,1,IUCN,2021,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),15.197373728809854,1.9669732483035356,0.005590545693693019,0.01897998460225538,0.049779536977265865,0.059997270214712385
10796,Batrachoseps campi,1,1,1,Lauren Warr,2021,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),1.040195522058721,0.0329256978788706,0.0,0.006132682752649998,0.11340153962373735,0.01592973619699478
10797,Batrachoseps luciae,1,1,1,Christopher Evelyn,2021,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),3.5513390496325674,0.17091111094193223,0.015202623626422943,0.05967722104082543,0.16474820662587433,0.03001046731122008
10798,Batrachoseps pacificus,1,1,1,Lauren Warr,2021,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),2.277114625911175,0.05011474916413114,0.03413703105613668,0.012137837852686283,0.0470942667418672,0.0
10799,Batrachoseps wrighti,1,1,1,Lauren Warr,2020,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),9.425835018840464,1.8049818366018968,0.019493253055254997,0.0723548612252441,0.03579136368127112,0.05741037739677923
10800,Centrolene buckleyi,6,1,1,Kelsey Neam,2021,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Presence Uncertain,87.51566312249459,3.120744648709897,,,,
10801,Centrolene buckleyi,1,1,1,Kelsey Neam,2021,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),9.952678086423228,0.21867260542328756,,,,
10802,Centrolene buckleyi,1,1,1,Kelsey Neam,2021,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),1.022804316644758,0.03301716998863685,0.006557137239724398,0.19226440787315366,0.013791716657578943,0.19087134487926957
10803,Centrolene buckleyi,1,1,1,Kelsey Neam,2021,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),0.5904397379899724,0.014554148302339863,0.00933811441063881,0.13417088985443112,0.009614607319235802,0.05990928038954735
10804,Centrolene buckleyi,1,1,1,Kelsey Neam,2021,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),0.6938803343018052,0.019675798983556283,0.009431198239326477,0.18409328907728195,0.002149508136622985,0.07576731964945793
10805,Centrolene buckleyi,4,1,1,Kelsey Neam,2021,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Possibly Extinct,48.4713172688215,2.6369086943765736,,,,
10806,Chalcorana labialis,1,1,1,Louise Hobin,2021,IUCN (International Union for Conservation of Nature),0,Extant (resident),0.7591802029435404,0.023597528456642456,0.1448313593864441,0.1258760690689087,2.4254079647456628e-11,0.001460945699363947
10807,Chalcorana labialis,1,1,1,Louise Hobin,2021,IUCN (International Union for Conservation of Nature),0,Extant (resident),0.5180412791694553,0.011653204103169112,0.0,0.0,0.0,0.0
10808,Chalcorana labialis,1,1,1,Louise Hobin,2021,IUCN (International Union for Conservation of Nature),0,Extant (resident),1.0221446606378504,0.02973089723823254,0.004479082301259041,0.03725360706448555,2.6658357455744408e-05,0.0
10809,Chalcorana labialis,1,1,1,Louise Hobin,2021,IUCN (International Union for Conservation of Nature),0,Extant (resident),21.816477259580385,10.638781825813284,0.028494696046321197,0.23314110759303985,0.0015219441469785605,0.009403983374722522
10810,Chalcorana labialis,1,1,1,Louise Hobin,2021,IUCN (International Union for Conservation of Nature),0,Extant (resident),1.318577926898418,0.04497059163276946,0.13011159375309944,0.10939304903149606,0.0015738337533548474,0.01033608359284699
10811,Chalcorana raniceps,1,1,1,IUCN,2017,IUCN (International Union for Conservation of Nature) & Conservation International.,0,Extant (resident),3.613465095726286,0.5603121195901766,0.010161617072737827,0.41954046694349373,0.007787699431636803,0.035847157135856365
10812,Chalcorana raniceps,1,1,1,IUCN,2017,IUCN (International Union for Conservation of Nature) & Conservation International.,0,Extant (resident),1.5978093285110302,0.20315570191845148,0.0,0.026848488987833354,0.003291698331587653,6.687111189763365e-05
10813,Chalcorana raniceps,1,1,1,Louise Hobin,2017,IUCN (International Union for Conservation of Nature) & Conservation International.,0,Extant (resident),8.183863684245441,2.1209444057309277,0.006339817008605764,0.05766793583745724,0.0003478237943515843,0.0009666769680852571
